League,Degree,whyplay,Age,GAD_T
Gold,Bachelor,improving,23,8
Platinum,High School,winning,18,4
Diamond,High School,improving,19,9
Diamond,High School,improving,19,13
Silver,Master,winning,28,4
Diamond,High School,improving,18,4
Platinum,High School,improving,24,8
Bronze,High School,having fun,19,0
Diamond,High School,improving,18,1
Diamond,High School,improving,19,0
Platinum,Master,winning,24,5
Diamond,High School,having fun,18,2
Silver,None,winning,18,4
Platinum,High School,improving,20,2
Silver,Bachelor,improving,25,2
Platinum,Bachelor,having fun,23,7
Platinum,Bachelor,improving,28,11
Bronze,High School,having fun,21,2
Diamond,None,having fun,18,2
Platinum,High School,improving,19,7
Platinum,High School,having fun,22,4
Gold,High School,having fun,18,1
Silver,High School,having fun,25,9
Platinum,Bachelor,winning,23,5
Gold,Master,improving,23,13
Gold,Bachelor,having fun,28,8
Unranked,None,having fun,18,10
Gold,Master,improving,24,5
Gold,High School,relaxing,21,1
Gold,Bachelor,having fun,26,6
Silver,High School,having fun,20,0
Silver,Bachelor,improving,23,1
Diamond,Bachelor,winning,23,4
Bronze,Bachelor,having fun,29,1
Diamond,None,relaxing,18,4
Gold,Bachelor,relaxing,29,14
Gold,High School,having fun,19,4
Gold,High School,having fun,19,8
Platinum,Bachelor,improving,22,16
Gold,Bachelor,having fun,23,4
Platinum,None,relaxing,23,7
Bronze,High School,improving,23,3
Platinum,High School,having fun,20,5
Silver,High School,having fun,20,0
Bronze,High School,relaxing,30,15
Gold,High School,having fun,18,2
Silver,Master,having fun,30,6
Gold,None,improving,18,7
Diamond,High School,improving,21,9
Gold,High School,having fun,21,5
Silver,Master,winning,28,12
Diamond,High School,having fun,19,4
Diamond,High School,improving,18,8
Gold,Bachelor,having fun,21,1
Diamond,High School,winning,20,5
Gold,None,having fun,18,3
Platinum,Bachelor,having fun,27,0
Gold,High School,having fun,21,3
Gold,High School,relaxing,19,11
Platinum,High School,winning,19,2
Platinum,High School,having fun,20,14
Gold,High School,winning,20,5
Bronze,Bachelor,having fun,21,4
Gold,Master,having fun,38,1
Diamond,High School,improving,18,3
Platinum,High School,having fun,20,6
Gold,High School,relaxing,20,0
Gold,Bachelor,having fun,23,2
Gold,High School,winning,23,3
Gold,High School,improving,21,5
Platinum,Bachelor,having fun,30,8
Platinum,High School,improving,25,5
Platinum,Bachelor,improving,21,2
Gold,None,relaxing,18,19
Platinum,High School,improving,26,8
Diamond,High School,improving,19,5
Platinum,High School,having fun,18,5
Gold,Bachelor,having fun,37,1
Gold,High School,improving,18,1
Platinum,None,winning,18,10
Gold,None,winning,20,3
Diamond,High School,improving,18,2
Platinum,High School,improving,19,1
Diamond,High School,winning,19,13
Bronze,High School,having fun,29,7
Platinum,High School,having fun,19,2
Gold,High School,winning,23,4
Platinum,Bachelor,improving,22,0
Silver,High School,having fun,18,6
Gold,High School,having fun,20,1
Silver,High School,improving,21,14
Unranked,High School,improving,20,8
Diamond,Bachelor,improving,24,11
Platinum,High School,having fun,19,0
Platinum,None,improving,19,7
Gold,High School,improving,25,3
Gold,Bachelor,having fun,21,3
Gold,High School,having fun,20,3
Silver,None,relaxing,18,16
Gold,High School,having fun,19,3
Silver,Bachelor,having fun,19,13
Platinum,High School,having fun,22,4
Gold,High School,having fun,25,0
Platinum,High School,improving,24,2
Silver,High School,having fun,19,0
Platinum,High School,winning,19,10
Gold,None,winning,18,5
Silver,High School,having fun,21,14
Silver,Bachelor,having fun,22,4
Platinum,High School,improving,21,2
Diamond,High School,improving,19,6
Silver,None,having fun,19,3
Gold,High School,winning,19,3
Silver,High School,improving,23,3
Gold,High School,winning,19,0
Platinum,Bachelor,improving,21,5
Silver,None,improving,18,1
Unranked,High School,winning,18,5
Silver,High School,having fun,19,1
Silver,Bachelor,having fun,21,0
Platinum,Bachelor,improving,19,21
Gold,High School,improving,18,13
Diamond,High School,winning,19,14
Gold,High School,having fun,22,1
Diamond,None,winning,18,10
Platinum,High School,improving,19,2
Platinum,Bachelor,having fun,26,6
Diamond,High School,having fun,21,1
Gold,High School,winning,18,12
Gold,High School,improving,18,3
Gold,High School,having fun,21,4
Platinum,High School,improving,19,1
Silver,High School,improving,20,4
Bronze,High School,improving,20,5
Gold,High School,having fun,24,2
Diamond,High School,having fun,22,10
Diamond,High School,having fun,21,6
Platinum,High School,improving,20,6
Platinum,Doctor,winning,25,8
Gold,Bachelor,improving,23,7
Unranked,Bachelor,having fun,22,7
Silver,High School,having fun,20,4
Gold,None,improving,18,6
Platinum,Bachelor,improving,28,12
Platinum,High School,winning,23,5
Gold,High School,having fun,22,3
Bronze,High School,having fun,25,2
Diamond,High School,improving,21,2
Platinum,Bachelor,improving,24,3
Gold,High School,having fun,22,9
Platinum,High School,winning,22,19
Gold,Bachelor,improving,26,6
Platinum,High School,winning,31,1
Platinum,High School,having fun,22,5
Platinum,High School,improving,18,1
Diamond,Bachelor,having fun,20,10
Bronze,High School,winning,20,12
Platinum,High School,improving,21,2
Gold,High School,having fun,20,1
Diamond,Bachelor,relaxing,27,5
Silver,High School,winning,21,11
Silver,Bachelor,having fun,25,16
Platinum,Bachelor,having fun,28,2
Silver,Bachelor,having fun,24,7
Silver,High School,winning,23,21
Unranked,High School,having fun,23,14
Gold,High School,relaxing,29,3
Gold,Bachelor,having fun,21,2
Silver,High School,winning,22,0
Platinum,Master,having fun,18,4
Diamond,High School,relaxing,19,5
Diamond,Bachelor,improving,21,7
Diamond,None,improving,18,12
Platinum,Bachelor,winning,21,4
Silver,High School,having fun,23,4
Bronze,Bachelor,improving,21,0
Silver,None,improving,18,10
Diamond,High School,having fun,19,1
Diamond,High School,improving,19,5
Platinum,Bachelor,having fun,22,12
Silver,High School,improving,19,5
Silver,High School,improving,18,4
Platinum,High School,improving,18,0
Diamond,High School,having fun,21,4
Diamond,High School,improving,19,16
Gold,High School,having fun,23,4
Diamond,None,having fun,20,4
Platinum,High School,having fun,21,3
Platinum,None,improving,20,8
Diamond,High School,improving,20,6
Unranked,Bachelor,having fun,23,3
Diamond,Bachelor,improving,23,3
Bronze,High School,winning,19,7
Platinum,Doctor,winning,18,7
Platinum,High School,relaxing,19,5
Gold,High School,improving,25,7
Platinum,High School,improving,23,17
Gold,High School,winning,18,2
Gold,High School,having fun,19,1
Platinum,High School,improving,19,0
Diamond,High School,having fun,19,3
Gold,High School,improving,20,10
Platinum,High School,having fun,25,1
Gold,Bachelor,having fun,27,2
Platinum,High School,having fun,18,10
Platinum,None,winning,18,4
Gold,High School,having fun,20,6
Platinum,High School,having fun,19,3
Gold,High School,having fun,19,2
Platinum,None,relaxing,18,12
Bronze,High School,relaxing,23,21
Gold,High School,having fun,18,5
Platinum,High School,improving,21,9
Gold,Bachelor,having fun,25,1
Gold,High School,having fun,19,5
Gold,Bachelor,having fun,24,3
Platinum,Bachelor,improving,22,11
Platinum,Master,improving,22,5
Platinum,None,winning,18,8
Platinum,High School,improving,22,14
Silver,None,having fun,18,3
Diamond,High School,improving,20,10
Gold,Bachelor,improving,22,15
Unranked,High School,having fun,20,13
Diamond,High School,improving,20,5
Gold,Bachelor,having fun,25,7
Gold,High School,having fun,19,7
Platinum,High School,improving,22,4
Gold,High School,having fun,18,5
Platinum,Bachelor,improving,24,3
Gold,Bachelor,winning,27,2
Gold,High School,having fun,22,0
Unranked,High School,having fun,19,4
Gold,High School,winning,19,1
Platinum,None,having fun,18,3
Silver,High School,having fun,20,4
Silver,High School,having fun,18,6
Platinum,Bachelor,winning,21,3
Gold,High School,winning,24,5
Gold,Bachelor,improving,20,4
Platinum,Bachelor,winning,25,4
Silver,Bachelor,improving,25,1
Diamond,High School,having fun,21,5
Gold,High School,improving,24,21
Platinum,High School,winning,21,4
Gold,None,having fun,18,13
Silver,Bachelor,improving,23,2
Diamond,Bachelor,improving,18,1
Silver,High School,having fun,19,4
Unranked,Bachelor,improving,21,11
Diamond,Bachelor,improving,23,2
Platinum,High School,winning,23,7
Silver,High School,having fun,23,4
Gold,Bachelor,having fun,25,9
Gold,Master,having fun,28,5
Silver,None,relaxing,18,12
Gold,None,improving,18,4
Gold,Bachelor,winning,23,5
Silver,High School,having fun,18,5
Diamond,High School,improving,18,12
Diamond,Bachelor,winning,20,4
Unranked,High School,improving,21,0
Platinum,None,improving,18,9
Platinum,High School,having fun,18,10
Gold,High School,improving,20,3
Diamond,High School,improving,20,2
Silver,High School,winning,18,2
Diamond,High School,having fun,19,2
Gold,Bachelor,having fun,20,8
Gold,High School,winning,38,12
Gold,Bachelor,having fun,21,12
Silver,High School,having fun,20,3
Platinum,Bachelor,improving,21,9
Unranked,High School,having fun,21,4
Platinum,High School,improving,24,10
Silver,High School,improving,23,1
Silver,None,improving,18,7
Gold,High School,having fun,20,3
Platinum,Master,improving,24,12
Platinum,High School,improving,19,7
Platinum,High School,improving,21,5
Bronze,High School,having fun,19,12
Diamond,High School,winning,19,3
Silver,High School,winning,26,13
Platinum,Master,having fun,22,1
Silver,Master,having fun,25,1
Diamond,Master,winning,21,0
Platinum,High School,improving,18,19
Gold,High School,having fun,22,6
Platinum,None,improving,20,11
Silver,High School,having fun,25,3
Gold,High School,improving,21,0
Gold,High School,having fun,26,11
Silver,Bachelor,improving,22,2
Silver,Bachelor,improving,23,8
Silver,High School,winning,19,5
Platinum,None,having fun,18,4
Gold,None,winning,20,19
Platinum,High School,improving,19,7
Gold,High School,improving,24,2
Platinum,High School,improving,18,7
Diamond,Bachelor,having fun,19,6
Diamond,None,winning,19,6
Gold,High School,relaxing,19,0
Platinum,None,relaxing,18,2
Platinum,High School,improving,23,4
Platinum,High School,improving,18,6
Silver,None,having fun,18,2
Platinum,High School,having fun,22,1
Gold,Bachelor,improving,21,2
Gold,High School,having fun,20,0
Silver,High School,improving,21,11
Bronze,High School,improving,18,7
Platinum,High School,having fun,20,0
Silver,High School,improving,22,7
Silver,High School,improving,20,2
Gold,High School,winning,23,0
Platinum,Bachelor,winning,33,3
Diamond,Bachelor,improving,20,21
Diamond,High School,improving,19,1
Silver,High School,improving,25,3
Platinum,High School,improving,23,4
Unranked,High School,improving,20,5
Gold,Master,improving,33,5
Silver,High School,winning,20,0
Gold,High School,improving,18,2
Silver,High School,having fun,19,4
Gold,Master,improving,24,2
Unranked,None,having fun,18,0
Silver,Bachelor,improving,23,8
Gold,Bachelor,improving,18,8
Gold,High School,improving,20,6
Gold,High School,having fun,18,0
Bronze,High School,improving,20,3
Silver,High School,having fun,21,1
Gold,High School,improving,22,7
Gold,High School,winning,18,14
Gold,None,having fun,18,4
Diamond,Bachelor,relaxing,21,8
Gold,High School,improving,20,6
Gold,Bachelor,having fun,23,1
Platinum,None,having fun,18,4
Gold,Master,having fun,21,5
Gold,High School,improving,19,2
Gold,High School,improving,18,1
Gold,Bachelor,having fun,18,3
Silver,Bachelor,winning,23,10
Diamond,High School,improving,20,10
Diamond,High School,winning,24,11
Platinum,High School,having fun,19,10
Platinum,Bachelor,having fun,21,2
Gold,High School,improving,29,8
Diamond,High School,improving,21,0
Gold,None,winning,18,5
Diamond,None,improving,18,2
Gold,High School,winning,18,5
Platinum,High School,improving,20,8
Platinum,None,winning,18,3
Gold,None,relaxing,18,3
Platinum,Master,having fun,21,1
Platinum,High School,improving,21,7
Platinum,None,improving,18,6
Gold,High School,having fun,27,5
Platinum,High School,improving,22,4
Gold,High School,improving,23,9
Gold,High School,having fun,18,6
Silver,Bachelor,having fun,26,9
Diamond,None,having fun,18,4
Silver,Bachelor,winning,26,4
Platinum,High School,having fun,19,1
Gold,None,improving,18,7
Silver,None,having fun,18,9
Silver,High School,improving,19,5
Platinum,Master,having fun,26,1
Platinum,High School,improving,22,4
Platinum,High School,improving,18,1
Platinum,High School,improving,21,1
Silver,None,improving,18,3
Bronze,High School,improving,29,6
Gold,None,improving,20,3
Platinum,High School,improving,20,2
Gold,Master,improving,21,4
Platinum,High School,having fun,18,0
Platinum,High School,having fun,20,5
Bronze,Bachelor,improving,23,2
Silver,Bachelor,improving,22,5
Gold,Bachelor,improving,25,3
Gold,None,winning,23,4
Silver,High School,improving,22,10
Silver,High School,winning,25,10
Diamond,High School,improving,21,8
Gold,None,having fun,21,2
Gold,None,improving,18,8
Diamond,High School,improving,23,8
Silver,High School,improving,18,3
Platinum,Bachelor,having fun,21,1
Platinum,High School,having fun,18,5
Silver,Bachelor,having fun,23,4
Silver,Bachelor,having fun,22,9
Silver,Master,improving,30,1
Gold,High School,having fun,18,0
Platinum,High School,improving,18,2
Silver,Bachelor,having fun,26,10
Platinum,Bachelor,having fun,20,4
Diamond,None,winning,18,14
Silver,High School,improving,20,3
Diamond,High School,improving,18,6
Gold,High School,having fun,21,10
Silver,High School,improving,22,5
Gold,High School,winning,18,6
Gold,High School,improving,24,14
Unranked,High School,having fun,19,4
Silver,None,improving,18,13
Diamond,Bachelor,having fun,22,8
Gold,High School,improving,20,3
Platinum,High School,having fun,18,2
Gold,High School,winning,18,0
Unranked,High School,having fun,19,1
Gold,High School,winning,18,7
Gold,High School,having fun,23,1
Diamond,High School,winning,20,1
Gold,High School,having fun,18,1
Diamond,None,having fun,18,5
Gold,High School,relaxing,18,6
Diamond,High School,improving,20,3
Gold,Master,winning,25,3
Gold,High School,having fun,22,5
Platinum,Bachelor,winning,23,0
Gold,High School,winning,20,13
Diamond,High School,winning,18,4
Gold,High School,having fun,20,15
Gold,High School,having fun,21,7
Platinum,High School,having fun,21,1
Gold,Bachelor,having fun,20,1
Platinum,High School,improving,18,8
Diamond,High School,having fun,18,3
Silver,High School,improving,37,5
Diamond,Bachelor,improving,24,0
Diamond,Bachelor,having fun,22,3
Platinum,None,improving,18,2
Diamond,High School,improving,20,1
Gold,None,improving,18,1
Silver,High School,having fun,20,3
Gold,High School,improving,20,5
Diamond,None,improving,18,5
Gold,High School,having fun,21,12
Unranked,High School,improving,19,2
Diamond,None,winning,18,14
Diamond,None,improving,18,5
Silver,Bachelor,having fun,24,2
Unranked,High School,improving,27,7
Platinum,High School,having fun,18,11
Platinum,High School,having fun,18,6
Diamond,None,having fun,18,2
Gold,High School,improving,22,3
Gold,High School,improving,23,1
Gold,High School,improving,18,15
Diamond,High School,improving,18,10
Gold,Bachelor,improving,26,4
Gold,None,having fun,18,10
Gold,High School,improving,21,15
Gold,None,improving,18,9
Diamond,High School,having fun,21,1
Gold,Master,relaxing,26,16
Silver,Bachelor,having fun,24,14
Gold,Bachelor,having fun,18,2
Platinum,High School,improving,20,11
Platinum,High School,improving,20,7
Gold,None,improving,18,14
Diamond,High School,relaxing,19,5
Platinum,Bachelor,relaxing,19,6
Diamond,High School,winning,20,17
Diamond,High School,improving,19,10
Diamond,None,improving,19,4
Platinum,Bachelor,winning,24,12
Platinum,High School,winning,19,4
Gold,High School,having fun,19,10
Diamond,Master,having fun,25,6
Diamond,High School,relaxing,20,5
Diamond,High School,improving,32,7
Silver,Master,having fun,28,3
Gold,High School,having fun,22,12
Gold,Bachelor,improving,24,1
Platinum,High School,winning,21,2
Platinum,High School,improving,19,5
Gold,High School,improving,21,3
Silver,High School,having fun,22,1
Silver,High School,improving,19,1
Platinum,High School,improving,22,3
Silver,High School,improving,21,3
Gold,Doctor,improving,26,7
Silver,Bachelor,having fun,25,0
Platinum,High School,winning,18,14
Gold,High School,relaxing,23,5
Diamond,Bachelor,winning,19,4
Platinum,High School,improving,21,6
Diamond,None,winning,18,13
Diamond,High School,improving,18,8
Silver,High School,having fun,19,1
Gold,None,improving,18,3
Platinum,High School,winning,19,9
Gold,Doctor,having fun,23,2
Gold,High School,relaxing,21,13
Silver,Bachelor,having fun,26,3
Platinum,Bachelor,having fun,21,1
Diamond,High School,winning,18,1
Gold,Bachelor,having fun,22,6
Platinum,High School,improving,18,2
Gold,High School,improving,19,0
Platinum,High School,improving,22,2
Gold,Master,having fun,25,0
Unranked,Bachelor,having fun,20,4
Gold,High School,having fun,20,12
Gold,High School,having fun,20,9
Platinum,High School,having fun,20,5
Gold,High School,improving,23,0
Silver,High School,improving,24,0
Bronze,High School,improving,20,2
Diamond,High School,improving,18,3
Gold,High School,improving,19,15
Diamond,High School,improving,21,1
Diamond,High School,having fun,20,3
Diamond,High School,having fun,20,1
Platinum,High School,improving,20,11
Diamond,High School,improving,22,3
Diamond,High School,improving,22,0
Bronze,High School,having fun,19,0
Gold,Bachelor,winning,25,3
Bronze,High School,improving,19,7
Silver,High School,winning,26,7
Platinum,High School,winning,24,2
Platinum,Bachelor,relaxing,25,2
Diamond,High School,winning,19,17
Unranked,None,having fun,18,11
Platinum,Master,winning,26,0
Platinum,Bachelor,winning,23,3
Bronze,High School,improving,20,10
Platinum,High School,winning,19,6
Platinum,Bachelor,having fun,25,16
Bronze,Bachelor,improving,23,0
Diamond,None,improving,18,9
Platinum,Bachelor,improving,19,1
Platinum,Bachelor,improving,20,4
Diamond,Bachelor,having fun,25,2
Diamond,Master,winning,23,5
Silver,High School,improving,21,5
Diamond,Bachelor,improving,22,10
Diamond,None,winning,18,3
Gold,None,improving,23,4
Platinum,Bachelor,improving,20,2
Platinum,None,having fun,19,7
Platinum,High School,having fun,21,5
Platinum,High School,having fun,20,5
Gold,Bachelor,having fun,20,1
Platinum,High School,having fun,20,3
Platinum,High School,improving,18,3
Platinum,High School,relaxing,19,4
Diamond,High School,improving,21,3
Bronze,Bachelor,having fun,21,4
Bronze,Bachelor,having fun,26,4
Unranked,Bachelor,having fun,22,1
Gold,High School,winning,20,2
Platinum,High School,having fun,21,8
Unranked,High School,having fun,26,13
Platinum,Bachelor,winning,25,0
Platinum,High School,relaxing,18,14
Platinum,High School,having fun,18,14
Platinum,High School,having fun,20,10
Gold,Bachelor,having fun,23,8
Diamond,None,improving,18,5
Diamond,High School,winning,20,5
Silver,High School,having fun,19,2
Platinum,Bachelor,winning,28,7
Gold,High School,having fun,20,3
Silver,High School,having fun,21,5
Diamond,High School,having fun,21,2
Platinum,Bachelor,winning,24,7
Diamond,High School,improving,22,4
Diamond,None,having fun,18,1
Gold,High School,having fun,18,3
Gold,High School,having fun,22,4
Gold,High School,improving,18,3
Gold,Bachelor,having fun,22,5
Platinum,High School,having fun,22,7
Silver,Bachelor,relaxing,27,0
Platinum,High School,having fun,24,3
Gold,Bachelor,having fun,26,4
Platinum,High School,having fun,21,1
Platinum,High School,improving,28,5
Gold,High School,having fun,19,10
Silver,High School,having fun,18,15
Gold,Bachelor,improving,25,1
Gold,High School,having fun,18,4
Unranked,Bachelor,relaxing,30,5
Silver,Bachelor,winning,24,7
Unranked,High School,having fun,21,9
Gold,Bachelor,having fun,26,7
Silver,Bachelor,improving,20,4
Silver,High School,relaxing,20,1
Silver,Master,having fun,26,4
Diamond,High School,winning,18,11
Bronze,High School,having fun,26,0
Gold,None,having fun,18,6
Diamond,Bachelor,improving,22,0
Gold,None,having fun,18,6
Silver,None,having fun,18,2
Platinum,None,improving,40,0
Diamond,None,improving,18,2
Diamond,High School,winning,18,17
Silver,Bachelor,having fun,28,15
Platinum,High School,improving,19,2
Diamond,Bachelor,winning,19,4
Diamond,High School,improving,18,7
Platinum,High School,improving,19,7
Gold,None,having fun,18,7
Platinum,None,having fun,19,1
Gold,None,having fun,18,7
Diamond,High School,improving,20,6
Silver,High School,having fun,19,1
Silver,None,winning,18,1
Gold,Bachelor,improving,25,4
Silver,High School,improving,21,0
Gold,Bachelor,having fun,25,2
Gold,Bachelor,improving,26,0
Silver,High School,having fun,21,2
Diamond,High School,having fun,23,0
Bronze,High School,improving,20,6
Platinum,High School,having fun,18,14
Gold,None,winning,18,6
Diamond,High School,winning,18,21
Silver,High School,having fun,19,6
Gold,High School,improving,19,1
Gold,High School,having fun,21,11
Platinum,Bachelor,having fun,25,1
Gold,None,winning,19,2
Gold,Bachelor,having fun,27,6
Platinum,High School,improving,21,2
Gold,High School,winning,19,10
Platinum,High School,winning,21,5
Platinum,High School,having fun,18,11
Gold,Bachelor,having fun,21,3
Diamond,None,improving,18,13
Silver,High School,winning,18,16
Silver,High School,having fun,18,3
Gold,Master,improving,26,15
Unranked,None,having fun,18,4
Gold,High School,improving,26,7
Platinum,Bachelor,having fun,24,0
Gold,Bachelor,relaxing,25,6
Platinum,Bachelor,winning,22,0
Platinum,High School,having fun,22,5
Diamond,Bachelor,winning,22,14
Gold,High School,improving,18,12
Gold,Bachelor,improving,23,11
Platinum,None,improving,18,0
Platinum,High School,having fun,21,0
Platinum,Bachelor,improving,22,7
Bronze,High School,improving,18,1
Platinum,High School,improving,22,5
Bronze,High School,having fun,20,5
Gold,High School,winning,21,1
Gold,High School,winning,18,7
Silver,High School,having fun,19,0
Platinum,High School,having fun,19,4
Platinum,High School,having fun,22,5
Diamond,High School,improving,22,2
Platinum,High School,improving,20,1
Silver,None,improving,21,14
Diamond,High School,improving,23,7
Platinum,High School,improving,20,5
Gold,High School,improving,19,0
Diamond,High School,winning,20,4
Gold,None,having fun,19,3
Silver,High School,having fun,19,20
Gold,High School,improving,19,3
Silver,None,having fun,19,2
Platinum,High School,improving,18,7
Silver,High School,having fun,20,5
Silver,High School,improving,18,6
Diamond,None,improving,19,4
Gold,High School,having fun,19,8
Silver,High School,having fun,23,7
Diamond,None,improving,18,7
Gold,Bachelor,having fun,24,5
Diamond,High School,winning,18,3
Platinum,High School,having fun,18,4
Silver,Master,improving,25,3
Platinum,Bachelor,improving,25,1
Diamond,Bachelor,winning,21,4
Platinum,High School,relaxing,18,7
Silver,Bachelor,improving,23,3
Diamond,High School,improving,24,4
Gold,Bachelor,improving,20,3
Platinum,High School,winning,21,0
Gold,High School,winning,21,10
Diamond,Bachelor,improving,21,19
Platinum,High School,improving,19,2
Gold,Bachelor,having fun,18,10
Gold,None,having fun,18,2
Platinum,High School,having fun,20,3
Platinum,High School,improving,20,1
Platinum,High School,having fun,19,0
Platinum,None,having fun,18,3
Diamond,Bachelor,improving,22,0
Platinum,High School,winning,18,14
Diamond,None,improving,19,6
Gold,High School,having fun,18,13
Platinum,Bachelor,improving,20,7
Gold,High School,improving,18,5
Gold,Bachelor,having fun,25,3
Platinum,None,having fun,18,1
Silver,Bachelor,having fun,24,4
Platinum,High School,having fun,19,0
Gold,High School,winning,20,15
Platinum,High School,having fun,19,1
Platinum,Master,having fun,24,12
Platinum,High School,improving,18,3
Platinum,None,having fun,18,2
Platinum,High School,having fun,20,3
Gold,Bachelor,having fun,24,10
Platinum,High School,improving,20,2
Silver,High School,relaxing,18,5
Silver,Bachelor,improving,29,2
Diamond,High School,winning,21,1
Silver,Bachelor,having fun,28,20
Silver,Bachelor,improving,23,7
Platinum,Bachelor,winning,23,5
Gold,High School,improving,23,2
Platinum,High School,having fun,19,2
Silver,Bachelor,having fun,24,1
Diamond,High School,improving,22,1
Gold,High School,having fun,22,4
Silver,Bachelor,having fun,19,4
Gold,High School,improving,21,0
Silver,Bachelor,having fun,35,2
Unranked,High School,having fun,18,2
Gold,High School,having fun,20,4
Diamond,High School,improving,23,5
Gold,High School,improving,21,1
Gold,High School,improving,21,9
Platinum,High School,improving,22,15
Silver,None,having fun,19,11
Gold,Bachelor,winning,20,3
Silver,Bachelor,improving,20,3
Diamond,Bachelor,improving,23,5
Gold,High School,having fun,20,1
Diamond,High School,having fun,24,5
Platinum,Master,winning,25,18
Gold,Master,improving,25,1
Gold,High School,relaxing,22,11
Silver,Master,having fun,24,7
Gold,High School,winning,22,9
Gold,High School,improving,21,11
