,0,1,2
196,Diamond,High School,winning
197,having fun,None,Gold
198,Platinum,having fun,Bachelor
199,having fun,High School,Gold
200,relaxing,High School,Gold
201,Platinum,High School,winning
202,Platinum,having fun,High School
203,winning,High School,Gold
204,having fun,Bachelor,Bronze
205,Master,having fun,Gold
206,Diamond,High School,improving
207,Platinum,having fun,High School
208,relaxing,High School,Gold
209,having fun,Bachelor,Gold
210,winning,High School,Gold
211,improving,High School,Gold
212,Platinum,having fun,Bachelor
213,Platinum,High School,improving
214,Platinum,Bachelor,improving
215,relaxing,None,Gold
216,Platinum,High School,improving
217,Diamond,High School,improving
218,Platinum,having fun,High School
219,having fun,Bachelor,Gold
220,improving,High School,Gold
221,Platinum,None,winning
222,winning,None,Gold
223,Diamond,High School,improving
224,Platinum,High School,improving
225,Diamond,High School,winning
226,having fun,High School,Bronze
227,Platinum,having fun,High School
228,winning,High School,Gold
229,Platinum,Bachelor,improving
230,having fun,High School,Silver
231,having fun,High School,Gold
232,improving,High School,Silver
233,Unranked,High School,improving
234,Diamond,Bachelor,improving
235,Platinum,having fun,High School
236,Platinum,None,improving
237,improving,High School,Gold
238,having fun,Bachelor,Gold
239,having fun,High School,Gold
240,None,Silver,relaxing
241,having fun,High School,Gold
242,having fun,Bachelor,Silver
243,Platinum,having fun,High School
244,having fun,High School,Gold
245,Platinum,High School,improving
246,having fun,High School,Silver
247,Platinum,High School,winning
248,winning,None,Gold
249,having fun,High School,Silver
250,having fun,Bachelor,Silver
251,Platinum,High School,improving
252,Diamond,High School,improving
253,having fun,None,Silver
254,winning,High School,Gold
255,improving,High School,Silver
256,winning,High School,Gold
257,Platinum,Bachelor,improving
258,improving,None,Silver
259,Unranked,High School,winning
260,having fun,High School,Silver
261,having fun,Bachelor,Silver
262,Platinum,Bachelor,improving
263,improving,High School,Gold
264,Diamond,High School,winning
265,having fun,High School,Gold
266,Diamond,None,winning
267,Platinum,High School,improving
268,Platinum,having fun,Bachelor
269,Diamond,having fun,High School
270,winning,High School,Gold
271,improving,High School,Gold
272,having fun,High School,Gold
273,Platinum,High School,improving
274,improving,High School,Silver
275,improving,High School,Bronze
276,having fun,High School,Gold
277,Diamond,having fun,High School
278,Diamond,having fun,High School
279,Platinum,High School,improving
280,Platinum,Doctor,winning
281,improving,Bachelor,Gold
282,Unranked,having fun,Bachelor
283,having fun,High School,Silver
284,improving,None,Gold
285,Platinum,Bachelor,improving
286,Platinum,High School,winning
287,having fun,High School,Gold
288,having fun,High School,Bronze
289,Diamond,High School,improving
290,Platinum,Bachelor,improving
291,having fun,High School,Gold
292,Platinum,High School,winning
293,improving,Bachelor,Gold
294,Platinum,High School,winning
295,Platinum,having fun,High School
296,Platinum,High School,improving
297,Diamond,having fun,Bachelor
298,High School,Bronze,winning
299,Platinum,High School,improving
300,having fun,High School,Gold
301,Diamond,Bachelor,relaxing
302,High School,Silver,winning
303,having fun,Bachelor,Silver
304,Platinum,having fun,Bachelor
305,having fun,Bachelor,Silver
306,High School,Silver,winning
307,Unranked,having fun,High School
308,relaxing,High School,Gold
309,having fun,Bachelor,Gold
310,High School,Silver,winning
311,Platinum,having fun,Master
312,Diamond,High School,relaxing
313,Diamond,Bachelor,improving
314,Diamond,None,improving
315,Platinum,Bachelor,winning
316,having fun,High School,Silver
317,improving,Bachelor,Bronze
318,improving,None,Silver
319,Diamond,having fun,High School
320,Diamond,High School,improving
321,Platinum,having fun,Bachelor
322,improving,High School,Silver
323,improving,High School,Silver
324,Platinum,High School,improving
325,Diamond,having fun,High School
326,Diamond,High School,improving
327,having fun,High School,Gold
328,Diamond,having fun,None
329,Platinum,having fun,High School
330,Platinum,None,improving
331,Diamond,High School,improving
332,Unranked,having fun,Bachelor
333,Diamond,Bachelor,improving
334,High School,Bronze,winning
335,Platinum,Doctor,winning
336,Platinum,High School,relaxing
337,improving,High School,Gold
338,Platinum,High School,improving
339,winning,High School,Gold
340,having fun,High School,Gold
341,Platinum,High School,improving
342,Diamond,having fun,High School
343,improving,High School,Gold
344,Platinum,having fun,High School
345,having fun,Bachelor,Gold
346,Platinum,having fun,High School
347,Platinum,None,winning
348,having fun,High School,Gold
349,Platinum,having fun,High School
350,having fun,High School,Gold
351,Platinum,None,relaxing
352,High School,Bronze,relaxing
353,having fun,High School,Gold
354,Platinum,High School,improving
355,having fun,Bachelor,Gold
356,having fun,High School,Gold
357,having fun,Bachelor,Gold
358,Platinum,Bachelor,improving
359,Platinum,Master,improving
360,Platinum,None,winning
361,Platinum,High School,improving
362,having fun,None,Silver
363,Diamond,High School,improving
364,improving,Bachelor,Gold
365,Unranked,having fun,High School
366,Diamond,High School,improving
367,having fun,Bachelor,Gold
368,having fun,High School,Gold
369,Platinum,High School,improving
370,having fun,High School,Gold
371,Platinum,Bachelor,improving
372,winning,Bachelor,Gold
373,having fun,High School,Gold
374,Unranked,having fun,High School
375,winning,High School,Gold
376,Platinum,having fun,None
377,having fun,High School,Silver
378,having fun,High School,Silver
379,Platinum,Bachelor,winning
380,winning,High School,Gold
381,improving,Bachelor,Gold
382,Platinum,Bachelor,winning
383,improving,Bachelor,Silver
384,Diamond,having fun,High School
385,improving,High School,Gold
386,Platinum,High School,winning
387,having fun,None,Gold
388,improving,Bachelor,Silver
389,Diamond,Bachelor,improving
390,having fun,High School,Silver
391,Unranked,Bachelor,improving
392,Diamond,Bachelor,improving
393,Platinum,High School,winning
394,having fun,High School,Silver
395,having fun,Bachelor,Gold
396,Master,having fun,Gold
397,None,Silver,relaxing
398,improving,None,Gold
399,winning,Bachelor,Gold
400,having fun,High School,Silver
401,Diamond,High School,improving
402,Diamond,Bachelor,winning
403,Unranked,High School,improving
404,Platinum,None,improving
405,Platinum,having fun,High School
406,improving,High School,Gold
407,Diamond,High School,improving
408,High School,Silver,winning
409,Diamond,having fun,High School
410,having fun,Bachelor,Gold
411,winning,High School,Gold
412,having fun,Bachelor,Gold
413,having fun,High School,Silver
414,Platinum,Bachelor,improving
415,Unranked,having fun,High School
416,Platinum,High School,improving
417,improving,High School,Silver
418,improving,None,Silver
419,having fun,High School,Gold
420,Platinum,Master,improving
421,Platinum,High School,improving
422,Platinum,High School,improving
423,having fun,High School,Bronze
424,Diamond,High School,winning
425,High School,Silver,winning
426,Platinum,having fun,Master
427,Master,having fun,Silver
428,Diamond,Master,winning
429,Platinum,High School,improving
430,having fun,High School,Gold
431,Platinum,None,improving
432,having fun,High School,Silver
433,improving,High School,Gold
434,having fun,High School,Gold
435,improving,Bachelor,Silver
436,improving,Bachelor,Silver
437,High School,Silver,winning
438,Platinum,having fun,None
439,winning,None,Gold
440,Platinum,High School,improving
441,improving,High School,Gold
442,Platinum,High School,improving
443,Diamond,having fun,Bachelor
444,Diamond,None,winning
445,relaxing,High School,Gold
446,Platinum,None,relaxing
447,Platinum,High School,improving
448,Platinum,High School,improving
449,having fun,None,Silver
450,Platinum,having fun,High School
451,improving,Bachelor,Gold
452,having fun,High School,Gold
453,improving,High School,Silver
454,improving,High School,Bronze
455,Platinum,having fun,High School
456,improving,High School,Silver
457,improving,High School,Silver
458,winning,High School,Gold
459,Platinum,Bachelor,winning
460,Diamond,Bachelor,improving
461,Diamond,High School,improving
462,improving,High School,Silver
463,Platinum,High School,improving
464,Unranked,High School,improving
465,Master,improving,Gold
466,High School,Silver,winning
467,improving,High School,Gold
468,having fun,High School,Silver
469,Master,improving,Gold
470,Unranked,having fun,None
471,improving,Bachelor,Silver
472,improving,Bachelor,Gold
473,improving,High School,Gold
474,having fun,High School,Gold
475,improving,High School,Bronze
476,having fun,High School,Silver
477,improving,High School,Gold
478,winning,High School,Gold
479,having fun,None,Gold
480,Diamond,Bachelor,relaxing
481,improving,High School,Gold
482,having fun,Bachelor,Gold
483,Platinum,having fun,None
484,Master,having fun,Gold
485,improving,High School,Gold
486,improving,High School,Gold
487,having fun,Bachelor,Gold
488,Bachelor,Silver,winning
489,Diamond,High School,improving
490,Diamond,High School,winning
491,Platinum,having fun,High School
492,Platinum,having fun,Bachelor
493,improving,High School,Gold
494,Diamond,High School,improving
495,winning,None,Gold
496,Diamond,None,improving
497,winning,High School,Gold
498,Platinum,High School,improving
499,Platinum,None,winning
500,relaxing,None,Gold
501,Platinum,having fun,Master
502,Platinum,High School,improving
503,Platinum,None,improving
504,having fun,High School,Gold
505,Platinum,High School,improving
506,improving,High School,Gold
507,having fun,High School,Gold
508,having fun,Bachelor,Silver
509,Diamond,having fun,None
510,Bachelor,Silver,winning
511,Platinum,having fun,High School
512,improving,None,Gold
513,having fun,None,Silver
514,improving,High School,Silver
515,Platinum,having fun,Master
516,Platinum,High School,improving
517,Platinum,High School,improving
518,Platinum,High School,improving
519,improving,None,Silver
520,improving,High School,Bronze
521,improving,None,Gold
522,Platinum,High School,improving
523,Master,improving,Gold
524,Platinum,having fun,High School
525,Platinum,having fun,High School
526,improving,Bachelor,Bronze
527,improving,Bachelor,Silver
528,improving,Bachelor,Gold
529,winning,None,Gold
530,improving,High School,Silver
531,High School,Silver,winning
532,Diamond,High School,improving
533,having fun,None,Gold
534,improving,None,Gold
535,Diamond,High School,improving
536,improving,High School,Silver
537,Platinum,having fun,Bachelor
538,Platinum,having fun,High School
539,having fun,Bachelor,Silver
540,having fun,Bachelor,Silver
541,Master,Silver,improving
542,having fun,High School,Gold
543,Platinum,High School,improving
544,having fun,Bachelor,Silver
545,Platinum,having fun,Bachelor
546,Diamond,None,winning
547,improving,High School,Silver
548,Diamond,High School,improving
549,having fun,High School,Gold
550,improving,High School,Silver
551,winning,High School,Gold
552,improving,High School,Gold
553,Unranked,having fun,High School
554,improving,None,Silver
555,Diamond,having fun,Bachelor
556,improving,High School,Gold
557,Platinum,having fun,High School
558,winning,High School,Gold
559,Unranked,having fun,High School
560,winning,High School,Gold
561,having fun,High School,Gold
562,Diamond,High School,winning
563,having fun,High School,Gold
564,Diamond,having fun,None
565,relaxing,High School,Gold
566,Diamond,High School,improving
567,Master,winning,Gold
568,having fun,High School,Gold
569,Platinum,Bachelor,winning
570,winning,High School,Gold
571,Diamond,High School,winning
572,having fun,High School,Gold
573,having fun,High School,Gold
574,Platinum,having fun,High School
575,having fun,Bachelor,Gold
576,Platinum,High School,improving
577,Diamond,having fun,High School
578,improving,High School,Silver
579,Diamond,Bachelor,improving
580,Diamond,having fun,Bachelor
581,Platinum,None,improving
582,Diamond,High School,improving
583,improving,None,Gold
584,having fun,High School,Silver
585,improving,High School,Gold
586,Diamond,None,improving
587,having fun,High School,Gold
588,Unranked,High School,improving
589,Diamond,None,winning
590,Diamond,None,improving
591,having fun,Bachelor,Silver
592,Unranked,High School,improving
593,Platinum,having fun,High School
594,Platinum,having fun,High School
595,Diamond,having fun,None
596,improving,High School,Gold
597,improving,High School,Gold
598,improving,High School,Gold
599,Diamond,High School,improving
600,improving,Bachelor,Gold
601,having fun,None,Gold
602,improving,High School,Gold
603,improving,None,Gold
604,Diamond,having fun,High School
605,Master,relaxing,Gold
606,having fun,Bachelor,Silver
607,having fun,Bachelor,Gold
608,Platinum,High School,improving
609,Platinum,High School,improving
610,improving,None,Gold
611,Diamond,High School,relaxing
612,Platinum,Bachelor,relaxing
613,Diamond,High School,winning
614,Diamond,High School,improving
615,Diamond,None,improving
616,Platinum,Bachelor,winning
617,Platinum,High School,winning
618,having fun,High School,Gold
619,Diamond,having fun,Master
620,Diamond,High School,relaxing
621,Diamond,High School,improving
622,Master,having fun,Silver
623,having fun,High School,Gold
624,improving,Bachelor,Gold
625,Platinum,High School,winning
626,Platinum,High School,improving
627,improving,High School,Gold
628,having fun,High School,Silver
629,improving,High School,Silver
630,Platinum,High School,improving
631,improving,High School,Silver
632,improving,Doctor,Gold
633,having fun,Bachelor,Silver
634,Platinum,High School,winning
635,relaxing,High School,Gold
636,Diamond,Bachelor,winning
637,Platinum,High School,improving
638,Diamond,None,winning
639,Diamond,High School,improving
640,having fun,High School,Silver
641,improving,None,Gold
642,Platinum,High School,winning
643,having fun,Doctor,Gold
644,relaxing,High School,Gold
645,having fun,Bachelor,Silver
646,Platinum,having fun,Bachelor
647,Diamond,High School,winning
648,having fun,Bachelor,Gold
649,Platinum,High School,improving
650,improving,High School,Gold
651,Platinum,High School,improving
652,Master,having fun,Gold
653,Unranked,having fun,Bachelor
654,having fun,High School,Gold
655,having fun,High School,Gold
656,Platinum,having fun,High School
657,improving,High School,Gold
658,improving,High School,Silver
659,improving,High School,Bronze
660,Diamond,High School,improving
661,improving,High School,Gold
662,Diamond,High School,improving
663,Diamond,having fun,High School
664,Diamond,having fun,High School
665,Platinum,High School,improving
666,Diamond,High School,improving
667,Diamond,High School,improving
668,having fun,High School,Bronze
669,winning,Bachelor,Gold
670,improving,High School,Bronze
671,High School,Silver,winning
672,Platinum,High School,winning
673,Platinum,Bachelor,relaxing
674,Diamond,High School,winning
675,Unranked,having fun,None
676,Platinum,Master,winning
677,Platinum,Bachelor,winning
678,improving,High School,Bronze
679,Platinum,High School,winning
680,Platinum,having fun,Bachelor
681,improving,Bachelor,Bronze
682,Diamond,None,improving
683,Platinum,Bachelor,improving
684,Platinum,Bachelor,improving
685,Diamond,having fun,Bachelor
686,Diamond,Master,winning
687,improving,High School,Silver
688,Diamond,Bachelor,improving
689,Diamond,None,winning
690,improving,None,Gold
691,Platinum,Bachelor,improving
692,Platinum,having fun,None
693,Platinum,having fun,High School
694,Platinum,having fun,High School
695,having fun,Bachelor,Gold
696,Platinum,having fun,High School
697,Platinum,High School,improving
698,Platinum,High School,relaxing
699,Diamond,High School,improving
700,having fun,Bachelor,Bronze
701,having fun,Bachelor,Bronze
702,Unranked,having fun,Bachelor
703,winning,High School,Gold
704,Platinum,having fun,High School
705,Unranked,having fun,High School
706,Platinum,Bachelor,winning
707,Platinum,High School,relaxing
708,Platinum,having fun,High School
709,Platinum,having fun,High School
710,having fun,Bachelor,Gold
711,Diamond,None,improving
712,Diamond,High School,winning
713,having fun,High School,Silver
714,Platinum,Bachelor,winning
715,having fun,High School,Gold
716,having fun,High School,Silver
717,Diamond,having fun,High School
718,Platinum,Bachelor,winning
719,Diamond,High School,improving
720,Diamond,having fun,None
721,having fun,High School,Gold
722,having fun,High School,Gold
723,improving,High School,Gold
724,having fun,Bachelor,Gold
725,Platinum,having fun,High School
726,Bachelor,Silver,relaxing
727,Platinum,having fun,High School
728,having fun,Bachelor,Gold
729,Platinum,having fun,High School
730,Platinum,High School,improving
731,having fun,High School,Gold
732,having fun,High School,Silver
733,improving,Bachelor,Gold
734,having fun,High School,Gold
735,Unranked,Bachelor,relaxing
736,Bachelor,Silver,winning
737,Unranked,having fun,High School
738,having fun,Bachelor,Gold
739,improving,Bachelor,Silver
740,High School,Silver,relaxing
741,Master,having fun,Silver
742,Diamond,High School,winning
743,having fun,High School,Bronze
744,having fun,None,Gold
745,Diamond,Bachelor,improving
746,having fun,None,Gold
747,having fun,None,Silver
748,Platinum,None,improving
749,Diamond,None,improving
750,Diamond,High School,winning
751,having fun,Bachelor,Silver
752,Platinum,High School,improving
753,Diamond,Bachelor,winning
754,Diamond,High School,improving
755,Platinum,High School,improving
756,having fun,None,Gold
757,Platinum,having fun,None
758,having fun,None,Gold
759,Diamond,High School,improving
760,having fun,High School,Silver
761,None,Silver,winning
762,improving,Bachelor,Gold
763,improving,High School,Silver
764,having fun,Bachelor,Gold
765,improving,Bachelor,Gold
766,having fun,High School,Silver
767,Diamond,having fun,High School
768,improving,High School,Bronze
769,Platinum,having fun,High School
770,winning,None,Gold
771,Diamond,High School,winning
772,having fun,High School,Silver
773,improving,High School,Gold
774,having fun,High School,Gold
775,Platinum,having fun,Bachelor
776,winning,None,Gold
777,having fun,Bachelor,Gold
778,Platinum,High School,improving
779,winning,High School,Gold
780,Platinum,High School,winning
781,Platinum,having fun,High School
782,having fun,Bachelor,Gold
783,Diamond,None,improving
784,High School,Silver,winning
785,having fun,High School,Silver
786,Master,improving,Gold
787,Unranked,having fun,None
788,improving,High School,Gold
789,Platinum,having fun,Bachelor
790,relaxing,Bachelor,Gold
791,Platinum,Bachelor,winning
792,Platinum,having fun,High School
793,Diamond,Bachelor,winning
794,improving,High School,Gold
795,improving,Bachelor,Gold
796,Platinum,None,improving
797,Platinum,having fun,High School
798,Platinum,Bachelor,improving
799,improving,High School,Bronze
800,Platinum,High School,improving
801,having fun,High School,Bronze
802,winning,High School,Gold
803,winning,High School,Gold
804,having fun,High School,Silver
805,Platinum,having fun,High School
806,Platinum,having fun,High School
807,Diamond,High School,improving
808,Platinum,High School,improving
809,improving,None,Silver
810,Diamond,High School,improving
811,Platinum,High School,improving
812,improving,High School,Gold
813,Diamond,High School,winning
814,having fun,None,Gold
815,having fun,High School,Silver
816,improving,High School,Gold
817,having fun,None,Silver
818,Platinum,High School,improving
819,having fun,High School,Silver
820,improving,High School,Silver
821,Diamond,None,improving
822,having fun,High School,Gold
823,having fun,High School,Silver
824,Diamond,None,improving
825,having fun,Bachelor,Gold
826,Diamond,High School,winning
827,Platinum,having fun,High School
828,Master,Silver,improving
829,Platinum,Bachelor,improving
830,Diamond,Bachelor,winning
831,Platinum,High School,relaxing
832,improving,Bachelor,Silver
833,Diamond,High School,improving
834,improving,Bachelor,Gold
835,Platinum,High School,winning
836,winning,High School,Gold
837,Diamond,Bachelor,improving
838,Platinum,High School,improving
839,having fun,Bachelor,Gold
840,having fun,None,Gold
841,Platinum,having fun,High School
842,Platinum,High School,improving
843,Platinum,having fun,High School
844,Platinum,having fun,None
845,Diamond,Bachelor,improving
846,Platinum,High School,winning
847,Diamond,None,improving
848,having fun,High School,Gold
849,Platinum,Bachelor,improving
850,improving,High School,Gold
851,having fun,Bachelor,Gold
852,Platinum,having fun,None
853,having fun,Bachelor,Silver
854,Platinum,having fun,High School
855,winning,High School,Gold
856,Platinum,having fun,High School
857,Platinum,having fun,Master
858,Platinum,High School,improving
859,Platinum,having fun,None
860,Platinum,having fun,High School
861,having fun,Bachelor,Gold
862,Platinum,High School,improving
863,High School,Silver,relaxing
864,improving,Bachelor,Silver
865,Diamond,High School,winning
866,having fun,Bachelor,Silver
867,improving,Bachelor,Silver
868,Platinum,Bachelor,winning
869,improving,High School,Gold
870,Platinum,having fun,High School
871,having fun,Bachelor,Silver
872,Diamond,High School,improving
873,having fun,High School,Gold
874,having fun,Bachelor,Silver
875,improving,High School,Gold
876,having fun,Bachelor,Silver
877,Unranked,having fun,High School
878,having fun,High School,Gold
879,Diamond,High School,improving
880,improving,High School,Gold
881,improving,High School,Gold
882,Platinum,High School,improving
883,having fun,None,Silver
884,winning,Bachelor,Gold
885,improving,Bachelor,Silver
886,Diamond,Bachelor,improving
887,having fun,High School,Gold
888,Diamond,having fun,High School
889,Platinum,Master,winning
890,Master,improving,Gold
891,relaxing,High School,Gold
892,Master,having fun,Silver
893,winning,High School,Gold
894,improving,High School,Gold
895,Diamond,Bachelor,improving
896,Diamond,having fun,Master
897,Diamond,High School,improving
898,High School,Silver,relaxing
899,High School,Silver,relaxing
900,Platinum,having fun,High School
901,Diamond,High School,improving
902,Diamond,having fun,High School
903,Master,having fun,Silver
904,Diamond,High School,improving
905,Master,having fun,Gold
906,None,Silver,relaxing
907,Diamond,having fun,High School
908,having fun,High School,Silver
909,Unranked,having fun,High School
910,Platinum,High School,winning
911,High School,Silver,winning
912,Platinum,High School,improving
913,improving,High School,Gold
914,Platinum,Bachelor,winning
915,improving,Bachelor,Gold
916,Diamond,High School,improving
917,High School,Silver,winning
918,Diamond,having fun,Bachelor
919,Platinum,High School,improving
920,Platinum,having fun,High School
921,improving,High School,Gold
922,Diamond,having fun,None
923,improving,Bachelor,Gold
924,winning,Bachelor,Gold
925,Diamond,having fun,High School
926,Diamond,Bachelor,winning
927,Platinum,Bachelor,relaxing
928,Diamond,High School,improving
929,Diamond,Bachelor,winning
930,having fun,High School,Gold
931,improving,Bachelor,Silver
932,Platinum,having fun,High School
933,improving,High School,Gold
934,Platinum,High School,improving
935,improving,High School,Gold
936,having fun,High School,Silver
937,Platinum,having fun,High School
938,relaxing,High School,Gold
939,Platinum,High School,winning
940,relaxing,Bachelor,Gold
941,having fun,Bachelor,Bronze
942,winning,High School,Gold
943,Diamond,High School,improving
944,having fun,High School,Gold
945,improving,High School,Bronze
946,Platinum,having fun,Bachelor
947,winning,High School,Gold
948,having fun,Bachelor,Gold
949,having fun,Bachelor,Silver
950,having fun,Bachelor,Silver
951,Platinum,High School,improving
952,Diamond,High School,improving
953,Platinum,having fun,High School
954,having fun,Bachelor,Gold
955,improving,High School,Gold
956,Platinum,Master,improving
957,improving,None,Silver
958,having fun,None,Silver
959,Platinum,High School,improving
960,improving,High School,Silver
961,Platinum,High School,improving
962,improving,High School,Silver
963,Unranked,High School,winning
964,Platinum,High School,improving
965,having fun,High School,Gold
966,Master,winning,Gold
967,improving,High School,Silver
968,having fun,Bachelor,Silver
969,Platinum,having fun,Bachelor
970,Diamond,Bachelor,winning
971,improving,Bachelor,Silver
972,Unranked,having fun,High School
973,Platinum,having fun,High School
974,winning,High School,Gold
975,improving,None,Gold
976,None,Silver,winning
977,Diamond,High School,improving
978,High School,Silver,relaxing
979,having fun,High School,Silver
980,Unranked,having fun,High School
981,having fun,High School,Gold
982,Diamond,Bachelor,improving
983,improving,High School,Bronze
984,Platinum,having fun,High School
985,Master,Silver,improving
986,Platinum,having fun,High School
987,having fun,None,Gold
988,having fun,Bachelor,Bronze
989,Platinum,High School,relaxing
990,Diamond,High School,winning
991,having fun,Bachelor,Silver
992,Platinum,None,improving
993,having fun,High School,Gold
994,Platinum,having fun,High School
995,having fun,High School,Gold
996,winning,Bachelor,Gold
997,improving,High School,Gold
998,improving,Bachelor,Silver
999,Diamond,High School,improving
1000,improving,Bachelor,Silver
1001,having fun,High School,Gold
1002,improving,High School,Gold
1003,Unranked,having fun,High School
1004,Platinum,High School,improving
1005,Diamond,High School,improving
1006,having fun,High School,Gold
1007,Unranked,Master,improving
1008,improving,High School,Gold
1009,Platinum,Master,winning
1010,improving,None,Gold
1011,Diamond,None,winning
1012,improving,High School,Gold
1013,having fun,Bachelor,Gold
1014,improving,Bachelor,Bronze
1015,Diamond,having fun,None
1016,having fun,Bachelor,Silver
1017,having fun,High School,Silver
1018,Platinum,High School,improving
1019,Diamond,having fun,High School
1020,Platinum,having fun,None
1021,Platinum,having fun,High School
1022,Master,winning,Gold
1023,having fun,Bachelor,Silver
1024,having fun,High School,Gold
1025,Diamond,having fun,High School
