League,Degree,Age,GAD_T
Gold,High School,20,0
Gold,Bachelor,23,2
Gold,High School,23,3
Gold,High School,21,5
Platinum,Bachelor,30,8
Platinum,High School,25,5
Platinum,Bachelor,21,2
Gold,None,18,19
Platinum,High School,26,8
Diamond,High School,19,5
Platinum,High School,18,5
Gold,Bachelor,37,1
Gold,High School,18,1
Platinum,None,18,10
Gold,None,20,3
Diamond,High School,18,2
Platinum,High School,19,1
Diamond,High School,19,13
Bronze,High School,29,7
Platinum,High School,19,2
Gold,High School,23,4
Platinum,Bachelor,22,0
Silver,High School,18,6
Gold,High School,20,1
Silver,High School,21,14
Unranked,High School,20,8
Diamond,Bachelor,24,11
Platinum,High School,19,0
Platinum,None,19,7
Gold,High School,25,3
Gold,Bachelor,21,3
Gold,High School,20,3
Silver,None,18,16
Gold,High School,19,3
Silver,Bachelor,19,13
Platinum,High School,22,4
Gold,High School,25,0
Platinum,High School,24,2
Silver,High School,19,0
Platinum,High School,19,10
Gold,None,18,5
Silver,High School,21,14
Silver,Bachelor,22,4
Platinum,High School,21,2
Diamond,High School,19,6
Silver,None,19,3
Gold,High School,19,3
Silver,High School,23,3
Gold,High School,19,0
Platinum,Bachelor,21,5
Silver,None,18,1
Unranked,High School,18,5
Silver,High School,19,1
Silver,Bachelor,21,0
Platinum,Bachelor,19,21
Gold,High School,18,13
Diamond,High School,19,14
Gold,High School,22,1
Diamond,None,18,10
Platinum,High School,19,2
Platinum,Bachelor,26,6
Diamond,High School,21,1
Gold,High School,18,12
Gold,High School,18,3
Gold,High School,21,4
Platinum,High School,19,1
Silver,High School,20,4
Bronze,High School,20,5
Gold,High School,24,2
Diamond,High School,22,10
Diamond,High School,21,6
Platinum,High School,20,6
Platinum,Doctor,25,8
Gold,Bachelor,23,7
Unranked,Bachelor,22,7
Silver,High School,20,4
Gold,None,18,6
Platinum,Bachelor,28,12
Platinum,High School,23,5
Gold,High School,22,3
Bronze,High School,25,2
Diamond,High School,21,2
Platinum,Bachelor,24,3
Gold,High School,22,9
Platinum,High School,22,19
Gold,Bachelor,26,6
Platinum,High School,31,1
Platinum,High School,22,5
Platinum,High School,18,1
Diamond,Bachelor,20,10
Bronze,High School,20,12
Platinum,High School,21,2
Gold,High School,20,1
Diamond,Bachelor,27,5
Silver,High School,21,11
Silver,Bachelor,25,16
Platinum,Bachelor,28,2
Silver,Bachelor,24,7
Silver,High School,23,21
Unranked,High School,23,14
Gold,High School,29,3
Gold,Bachelor,21,2
Silver,High School,22,0
Platinum,Master,18,4
Diamond,High School,19,5
Diamond,Bachelor,21,7
Diamond,None,18,12
Platinum,Bachelor,21,4
Silver,High School,23,4
Bronze,Bachelor,21,0
Silver,None,18,10
Diamond,High School,19,1
Diamond,High School,19,5
Platinum,Bachelor,22,12
Silver,High School,19,5
Silver,High School,18,4
Platinum,High School,18,0
Diamond,High School,21,4
Diamond,High School,19,16
Gold,High School,23,4
Diamond,None,20,4
Platinum,High School,21,3
Platinum,None,20,8
Diamond,High School,20,6
Unranked,Bachelor,23,3
Diamond,Bachelor,23,3
Bronze,High School,19,7
Platinum,Doctor,18,7
Platinum,High School,19,5
Gold,High School,25,7
Platinum,High School,23,17
Gold,High School,18,2
Gold,High School,19,1
Platinum,High School,19,0
Diamond,High School,19,3
Gold,High School,20,10
Platinum,High School,25,1
Gold,Bachelor,27,2
Platinum,High School,18,10
Platinum,None,18,4
Gold,High School,20,6
Platinum,High School,19,3
Gold,High School,19,2
Platinum,None,18,12
Bronze,High School,23,21
Gold,High School,18,5
Platinum,High School,21,9
Gold,Bachelor,25,1
Gold,High School,19,5
Gold,Bachelor,24,3
Platinum,Bachelor,22,11
Platinum,Master,22,5
Platinum,None,18,8
Platinum,High School,22,14
Silver,None,18,3
Diamond,High School,20,10
Gold,Bachelor,22,15
Unranked,High School,20,13
Diamond,High School,20,5
Gold,Bachelor,25,7
Gold,High School,19,7
Platinum,High School,22,4
Gold,High School,18,5
Platinum,Bachelor,24,3
Gold,Bachelor,27,2
Gold,High School,22,0
Unranked,High School,19,4
Gold,High School,19,1
Platinum,None,18,3
Silver,High School,20,4
Silver,High School,18,6
Platinum,Bachelor,21,3
Gold,High School,24,5
Gold,Bachelor,20,4
Platinum,Bachelor,25,4
Silver,Bachelor,25,1
Diamond,High School,21,5
Gold,High School,24,21
Platinum,High School,21,4
Gold,None,18,13
Silver,Bachelor,23,2
Diamond,Bachelor,18,1
Silver,High School,19,4
Unranked,Bachelor,21,11
Diamond,Bachelor,23,2
Platinum,High School,23,7
Silver,High School,23,4
Gold,Bachelor,25,9
Gold,Master,28,5
Silver,None,18,12
Gold,None,18,4
Gold,Bachelor,23,5
Silver,High School,18,5
Diamond,High School,18,12
Diamond,Bachelor,20,4
Unranked,High School,21,0
Platinum,None,18,9
Platinum,High School,18,10
Gold,High School,20,3
Diamond,High School,20,2
Silver,High School,18,2
Diamond,High School,19,2
Gold,Bachelor,20,8
Gold,High School,38,12
Gold,Bachelor,21,12
Silver,High School,20,3
Platinum,Bachelor,21,9
Unranked,High School,21,4
Platinum,High School,24,10
Silver,High School,23,1
Silver,None,18,7
Gold,High School,20,3
Platinum,Master,24,12
Platinum,High School,19,7
Platinum,High School,21,5
Bronze,High School,19,12
Diamond,High School,19,3
Silver,High School,26,13
Platinum,Master,22,1
Silver,Master,25,1
Diamond,Master,21,0
Platinum,High School,18,19
Gold,High School,22,6
Platinum,None,20,11
Silver,High School,25,3
Gold,High School,21,0
Gold,High School,26,11
Silver,Bachelor,22,2
Silver,Bachelor,23,8
Silver,High School,19,5
Platinum,None,18,4
Gold,None,20,19
Platinum,High School,19,7
Gold,High School,24,2
Platinum,High School,18,7
Diamond,Bachelor,19,6
Diamond,None,19,6
Gold,High School,19,0
Platinum,None,18,2
Platinum,High School,23,4
Platinum,High School,18,6
Silver,None,18,2
Platinum,High School,22,1
Gold,Bachelor,21,2
Gold,High School,20,0
Silver,High School,21,11
Bronze,High School,18,7
Platinum,High School,20,0
Silver,High School,22,7
Silver,High School,20,2
Gold,High School,23,0
Platinum,Bachelor,33,3
Diamond,Bachelor,20,21
Diamond,High School,19,1
Silver,High School,25,3
Platinum,High School,23,4
Unranked,High School,20,5
Gold,Master,33,5
Silver,High School,20,0
Gold,High School,18,2
Silver,High School,19,4
Gold,Master,24,2
Unranked,None,18,0
Silver,Bachelor,23,8
Gold,Bachelor,18,8
Gold,High School,20,6
Gold,High School,18,0
Bronze,High School,20,3
Silver,High School,21,1
Gold,High School,22,7
Gold,High School,18,14
Gold,None,18,4
Diamond,Bachelor,21,8
Gold,High School,20,6
Gold,Bachelor,23,1
Platinum,None,18,4
Gold,Master,21,5
Gold,High School,19,2
Gold,High School,18,1
Gold,Bachelor,18,3
Silver,Bachelor,23,10
Diamond,High School,20,10
Diamond,High School,24,11
Platinum,High School,19,10
Platinum,Bachelor,21,2
Gold,High School,29,8
Diamond,High School,21,0
Gold,None,18,5
Diamond,None,18,2
Gold,High School,18,5
Platinum,High School,20,8
Platinum,None,18,3
Gold,None,18,3
Platinum,Master,21,1
Platinum,High School,21,7
Platinum,None,18,6
Gold,High School,27,5
Platinum,High School,22,4
Gold,High School,23,9
Gold,High School,18,6
Silver,Bachelor,26,9
Diamond,None,18,4
Silver,Bachelor,26,4
Platinum,High School,19,1
Gold,None,18,7
Silver,None,18,9
Silver,High School,19,5
Platinum,Master,26,1
Platinum,High School,22,4
Platinum,High School,18,1
Platinum,High School,21,1
Silver,None,18,3
Bronze,High School,29,6
Gold,None,20,3
Platinum,High School,20,2
Gold,Master,21,4
Platinum,High School,18,0
Platinum,High School,20,5
Bronze,Bachelor,23,2
Silver,Bachelor,22,5
Gold,Bachelor,25,3
Gold,None,23,4
Silver,High School,22,10
Silver,High School,25,10
Diamond,High School,21,8
Gold,None,21,2
Gold,None,18,8
Diamond,High School,23,8
Silver,High School,18,3
Platinum,Bachelor,21,1
Platinum,High School,18,5
Silver,Bachelor,23,4
Silver,Bachelor,22,9
Silver,Master,30,1
Gold,High School,18,0
Platinum,High School,18,2
Silver,Bachelor,26,10
Platinum,Bachelor,20,4
Diamond,None,18,14
Silver,High School,20,3
Diamond,High School,18,6
Gold,High School,21,10
Silver,High School,22,5
Gold,High School,18,6
Gold,High School,24,14
Unranked,High School,19,4
Silver,None,18,13
Diamond,Bachelor,22,8
Gold,High School,20,3
Platinum,High School,18,2
Gold,High School,18,0
Unranked,High School,19,1
Gold,High School,18,7
Gold,High School,23,1
Diamond,High School,20,1
Gold,High School,18,1
Diamond,None,18,5
Gold,High School,18,6
Diamond,High School,20,3
Gold,Master,25,3
Gold,High School,22,5
Platinum,Bachelor,23,0
Gold,High School,20,13
Diamond,High School,18,4
Gold,High School,20,15
Gold,High School,21,7
Platinum,High School,21,1
Gold,Bachelor,20,1
Platinum,High School,18,8
Diamond,High School,18,3
Silver,High School,37,5
Diamond,Bachelor,24,0
Diamond,Bachelor,22,3
Platinum,None,18,2
Diamond,High School,20,1
Gold,None,18,1
Silver,High School,20,3
Gold,High School,20,5
Diamond,None,18,5
Gold,High School,21,12
Unranked,High School,19,2
Diamond,None,18,14
Diamond,None,18,5
Silver,Bachelor,24,2
Unranked,High School,27,7
Platinum,High School,18,11
Platinum,High School,18,6
Diamond,None,18,2
Gold,High School,22,3
Gold,High School,23,1
Gold,High School,18,15
Diamond,High School,18,10
Gold,Bachelor,26,4
Gold,None,18,10
Gold,High School,21,15
Gold,None,18,9
Diamond,High School,21,1
Gold,Master,26,16
Silver,Bachelor,24,14
Gold,Bachelor,18,2
Platinum,High School,20,11
Platinum,High School,20,7
Gold,None,18,14
Diamond,High School,19,5
Platinum,Bachelor,19,6
Diamond,High School,20,17
Diamond,High School,19,10
Diamond,None,19,4
Platinum,Bachelor,24,12
Platinum,High School,19,4
Gold,High School,19,10
Diamond,Master,25,6
Diamond,High School,20,5
Diamond,High School,32,7
Silver,Master,28,3
Gold,High School,22,12
Gold,Bachelor,24,1
Platinum,High School,21,2
Platinum,High School,19,5
Gold,High School,21,3
Silver,High School,22,1
Silver,High School,19,1
Platinum,High School,22,3
Silver,High School,21,3
Gold,Doctor,26,7
Silver,Bachelor,25,0
Platinum,High School,18,14
Gold,High School,23,5
Diamond,Bachelor,19,4
Platinum,High School,21,6
Diamond,None,18,13
Diamond,High School,18,8
Silver,High School,19,1
Gold,None,18,3
Platinum,High School,19,9
Gold,Doctor,23,2
Gold,High School,21,13
Silver,Bachelor,26,3
Platinum,Bachelor,21,1
Diamond,High School,18,1
Gold,Bachelor,22,6
Platinum,High School,18,2
Gold,High School,19,0
Platinum,High School,22,2
Gold,Master,25,0
Unranked,Bachelor,20,4
Gold,High School,20,12
Gold,High School,20,9
Platinum,High School,20,5
Gold,High School,23,0
Silver,High School,24,0
Bronze,High School,20,2
Diamond,High School,18,3
Gold,High School,19,15
Diamond,High School,21,1
Diamond,High School,20,3
Diamond,High School,20,1
Platinum,High School,20,11
Diamond,High School,22,3
Diamond,High School,22,0
Bronze,High School,19,0
Gold,Bachelor,25,3
Bronze,High School,19,7
Silver,High School,26,7
Platinum,High School,24,2
Platinum,Bachelor,25,2
Diamond,High School,19,17
Unranked,None,18,11
Platinum,Master,26,0
Platinum,Bachelor,23,3
Bronze,High School,20,10
Platinum,High School,19,6
Platinum,Bachelor,25,16
Bronze,Bachelor,23,0
Diamond,None,18,9
Platinum,Bachelor,19,1
Platinum,Bachelor,20,4
Diamond,Bachelor,25,2
Diamond,Master,23,5
Silver,High School,21,5
Diamond,Bachelor,22,10
Diamond,None,18,3
Gold,None,23,4
Platinum,Bachelor,20,2
Platinum,None,19,7
Platinum,High School,21,5
Platinum,High School,20,5
Gold,Bachelor,20,1
Platinum,High School,20,3
Platinum,High School,18,3
Platinum,High School,19,4
Diamond,High School,21,3
Bronze,Bachelor,21,4
Bronze,Bachelor,26,4
Unranked,Bachelor,22,1
Gold,High School,20,2
Platinum,High School,21,8
Unranked,High School,26,13
Platinum,Bachelor,25,0
Platinum,High School,18,14
Platinum,High School,18,14
Platinum,High School,20,10
Gold,Bachelor,23,8
Diamond,None,18,5
Diamond,High School,20,5
Silver,High School,19,2
Platinum,Bachelor,28,7
Gold,High School,20,3
Silver,High School,21,5
Diamond,High School,21,2
Platinum,Bachelor,24,7
Diamond,High School,22,4
Diamond,None,18,1
Gold,High School,18,3
Gold,High School,22,4
Gold,High School,18,3
Gold,Bachelor,22,5
Platinum,High School,22,7
Silver,Bachelor,27,0
Platinum,High School,24,3
Gold,Bachelor,26,4
Platinum,High School,21,1
Platinum,High School,28,5
Gold,High School,19,10
Silver,High School,18,15
Gold,Bachelor,25,1
Gold,High School,18,4
Unranked,Bachelor,30,5
Silver,Bachelor,24,7
Unranked,High School,21,9
Gold,Bachelor,26,7
Silver,Bachelor,20,4
Silver,High School,20,1
Silver,Master,26,4
Diamond,High School,18,11
Bronze,High School,26,0
Gold,None,18,6
Diamond,Bachelor,22,0
Gold,None,18,6
Silver,None,18,2
Platinum,None,40,0
Diamond,None,18,2
Diamond,High School,18,17
Silver,Bachelor,28,15
Platinum,High School,19,2
Diamond,Bachelor,19,4
Diamond,High School,18,7
Platinum,High School,19,7
Gold,None,18,7
Platinum,None,19,1
Gold,None,18,7
Diamond,High School,20,6
Silver,High School,19,1
Silver,None,18,1
Gold,Bachelor,25,4
Silver,High School,21,0
Gold,Bachelor,25,2
Gold,Bachelor,26,0
Silver,High School,21,2
Diamond,High School,23,0
Bronze,High School,20,6
Platinum,High School,18,14
Gold,None,18,6
Diamond,High School,18,21
Silver,High School,19,6
Gold,High School,19,1
Gold,High School,21,11
Platinum,Bachelor,25,1
Gold,None,19,2
Gold,Bachelor,27,6
Platinum,High School,21,2
Gold,High School,19,10
Platinum,High School,21,5
Platinum,High School,18,11
Gold,Bachelor,21,3
Diamond,None,18,13
Silver,High School,18,16
Silver,High School,18,3
Gold,Master,26,15
Unranked,None,18,4
Gold,High School,26,7
Platinum,Bachelor,24,0
Gold,Bachelor,25,6
Platinum,Bachelor,22,0
Platinum,High School,22,5
Diamond,Bachelor,22,14
Gold,High School,18,12
Gold,Bachelor,23,11
Platinum,None,18,0
Platinum,High School,21,0
Platinum,Bachelor,22,7
Bronze,High School,18,1
Platinum,High School,22,5
Bronze,High School,20,5
Gold,High School,21,1
Gold,High School,18,7
Silver,High School,19,0
Platinum,High School,19,4
Platinum,High School,22,5
Diamond,High School,22,2
Platinum,High School,20,1
Silver,None,21,14
Diamond,High School,23,7
Platinum,High School,20,5
Gold,High School,19,0
Diamond,High School,20,4
Gold,None,19,3
Silver,High School,19,20
Gold,High School,19,3
Silver,None,19,2
Platinum,High School,18,7
Silver,High School,20,5
Silver,High School,18,6
Diamond,None,19,4
Gold,High School,19,8
Silver,High School,23,7
Diamond,None,18,7
Gold,Bachelor,24,5
Diamond,High School,18,3
Platinum,High School,18,4
Silver,Master,25,3
Platinum,Bachelor,25,1
Diamond,Bachelor,21,4
Platinum,High School,18,7
Silver,Bachelor,23,3
Diamond,High School,24,4
Gold,Bachelor,20,3
Platinum,High School,21,0
Gold,High School,21,10
Diamond,Bachelor,21,19
Platinum,High School,19,2
Gold,Bachelor,18,10
Gold,None,18,2
Platinum,High School,20,3
Platinum,High School,20,1
Platinum,High School,19,0
Platinum,None,18,3
Diamond,Bachelor,22,0
Platinum,High School,18,14
Diamond,None,19,6
Gold,High School,18,13
Platinum,Bachelor,20,7
Gold,High School,18,5
Gold,Bachelor,25,3
Platinum,None,18,1
Silver,Bachelor,24,4
Platinum,High School,19,0
Gold,High School,20,15
Platinum,High School,19,1
Platinum,Master,24,12
Platinum,High School,18,3
Platinum,None,18,2
Platinum,High School,20,3
Gold,Bachelor,24,10
Platinum,High School,20,2
Silver,High School,18,5
Silver,Bachelor,29,2
Diamond,High School,21,1
Silver,Bachelor,28,20
Silver,Bachelor,23,7
Platinum,Bachelor,23,5
Gold,High School,23,2
Platinum,High School,19,2
Silver,Bachelor,24,1
Diamond,High School,22,1
Gold,High School,22,4
Silver,Bachelor,19,4
Gold,High School,21,0
Silver,Bachelor,35,2
Unranked,High School,18,2
Gold,High School,20,4
Diamond,High School,23,5
Gold,High School,21,1
Gold,High School,21,9
Platinum,High School,22,15
Silver,None,19,11
Gold,Bachelor,20,3
Silver,Bachelor,20,3
Diamond,Bachelor,23,5
Gold,High School,20,1
Diamond,High School,24,5
Platinum,Master,25,18
Gold,Master,25,1
Gold,High School,22,11
Silver,Master,24,7
Gold,High School,22,9
Gold,High School,21,11
Diamond,Bachelor,20,13
Diamond,Master,26,9
Diamond,High School,20,6
Silver,High School,19,13
Silver,High School,23,6
Platinum,High School,24,2
Diamond,High School,22,8
Diamond,High School,20,0
Silver,Master,27,1
Diamond,High School,22,16
Gold,Master,28,6
Silver,None,18,6
Diamond,High School,20,2
Silver,High School,24,6
Unranked,High School,20,2
Platinum,High School,19,4
Silver,High School,26,10
Platinum,High School,24,1
Gold,High School,19,3
Platinum,Bachelor,20,9
Gold,Bachelor,29,1
Diamond,High School,18,6
Silver,High School,19,3
Diamond,Bachelor,21,2
Platinum,High School,18,5
Platinum,High School,23,3
Gold,High School,20,0
Diamond,None,20,11
Gold,Bachelor,19,5
Gold,Bachelor,25,1
Diamond,High School,21,3
Diamond,Bachelor,21,13
Platinum,Bachelor,26,3
Diamond,High School,20,8
Diamond,Bachelor,20,1
Gold,High School,29,3
Silver,Bachelor,21,4
Platinum,High School,18,7
Gold,High School,25,8
Platinum,High School,19,1
Gold,High School,18,2
Silver,High School,18,3
Platinum,High School,18,8
Gold,High School,19,9
Platinum,High School,21,1
Gold,Bachelor,24,9
Bronze,Bachelor,25,1
Gold,High School,19,7
Diamond,High School,18,5
Gold,High School,19,3
Bronze,High School,21,1
Platinum,Bachelor,22,0
Gold,High School,23,9
Gold,Bachelor,27,2
Silver,Bachelor,27,6
Silver,Bachelor,22,16
Platinum,High School,18,2
Diamond,High School,20,3
Platinum,High School,21,0
Gold,Bachelor,21,0
Gold,High School,20,4
Platinum,Master,24,14
Silver,None,18,2
Silver,None,20,1
Platinum,High School,18,3
Silver,High School,21,13
Platinum,High School,21,11
Silver,High School,18,7
Unranked,High School,19,9
Platinum,High School,20,10
Gold,High School,18,9
Gold,Master,27,2
Silver,High School,18,5
Silver,Bachelor,27,12
Platinum,Bachelor,26,0
Diamond,Bachelor,18,8
Silver,Bachelor,22,0
Unranked,High School,21,3
Platinum,High School,18,0
Gold,High School,19,3
Gold,None,18,1
Silver,None,18,8
Diamond,High School,19,5
Silver,High School,19,2
Silver,High School,20,3
Unranked,High School,18,1
Gold,High School,19,0
Diamond,Bachelor,26,5
Bronze,High School,29,6
Platinum,High School,18,4
Silver,Master,23,3
Platinum,High School,24,14
Gold,None,20,12
Bronze,Bachelor,22,6
Platinum,High School,29,0
Diamond,High School,19,7
Silver,Bachelor,24,5
Platinum,None,18,7
Gold,High School,19,4
Platinum,High School,18,3
Gold,High School,18,1
Gold,Bachelor,26,2
Gold,High School,26,7
Silver,Bachelor,22,14
Diamond,High School,18,7
Silver,Bachelor,21,11
Gold,High School,39,1
Gold,High School,24,7
Unranked,High School,20,9
Platinum,High School,20,5
Diamond,High School,20,2
Gold,High School,18,2
Unranked,Master,27,3
Gold,High School,20,5
Platinum,Master,22,0
Gold,None,18,1
Diamond,None,19,2
Gold,High School,21,4
Gold,Bachelor,23,0
Bronze,Bachelor,22,6
Diamond,None,19,0
Silver,Bachelor,20,13
Silver,High School,21,3
Platinum,High School,21,0
Diamond,High School,22,0
Platinum,None,19,1
Platinum,High School,19,3
Gold,Master,21,21
Silver,Bachelor,32,4
Gold,High School,23,6
Diamond,High School,24,8
Diamond,High School,18,7
Platinum,High School,22,9
Gold,None,22,2
Gold,None,18,0
Gold,High School,19,2
Diamond,High School,19,2
Bronze,None,18,21
Gold,High School,22,4
Gold,High School,23,0
Platinum,High School,21,16
Gold,High School,20,10
Bronze,Master,25,2
Platinum,High School,18,10
Unranked,Bachelor,32,1
Silver,High School,20,0
Platinum,High School,19,6
Silver,None,18,2
Platinum,High School,22,3
Platinum,High School,18,2
Platinum,High School,18,7
Bronze,None,18,2
Platinum,Bachelor,21,8
Diamond,Master,25,2
Platinum,High School,18,4
Diamond,High School,19,5
Gold,None,18,7
Diamond,High School,18,3
Gold,High School,19,6
Gold,High School,18,1
Unranked,Master,26,9
Silver,High School,18,0
Platinum,High School,19,1
Gold,High School,20,2
Diamond,None,18,1
Bronze,High School,18,5
Platinum,High School,18,9
Gold,High School,19,3
Gold,High School,19,3
Platinum,High School,22,0
Silver,High School,18,18
Platinum,High School,18,8
Platinum,High School,22,13
Gold,None,18,5
Platinum,High School,20,3
Gold,None,20,3
Diamond,High School,21,16
Silver,High School,19,2
Gold,High School,22,4
Gold,High School,19,2
Diamond,None,19,4
Gold,Bachelor,21,7
Silver,High School,19,3
Unranked,High School,19,1
Silver,Master,28,2
Bronze,High School,21,7
Diamond,High School,20,10
Silver,Bachelor,23,2
Platinum,High School,21,9
Gold,High School,18,0
Gold,None,18,2
Silver,Master,23,7
Platinum,High School,20,0
Diamond,High School,23,0
Platinum,High School,19,0
Silver,Master,26,0
Silver,Bachelor,25,12
Silver,Master,27,5
Gold,Bachelor,22,5
Gold,High School,18,2
Unranked,Bachelor,23,10
Platinum,High School,19,10
Unranked,High School,19,2
Gold,High School,19,11
Bronze,Bachelor,24,0
Silver,High School,18,1
Silver,High School,18,8
Gold,High School,21,5
Platinum,High School,19,12
Gold,High School,21,3
Diamond,High School,19,4
Gold,High School,18,1
Platinum,High School,18,4
Silver,Bachelor,22,5
Platinum,Bachelor,19,3
Platinum,High School,18,3
Silver,Bachelor,25,5
Silver,High School,19,6
Diamond,High School,24,5
Diamond,High School,20,12
Silver,High School,20,4
Gold,High School,19,2
Silver,High School,21,7
Unranked,High School,24,2
Bronze,High School,19,1
Diamond,High School,21,1
Silver,Bachelor,22,4
Silver,Master,21,5
Gold,High School,21,2
Gold,High School,18,2
Platinum,High School,19,2
Platinum,High School,18,0
Platinum,High School,20,11
Diamond,None,21,1
Gold,High School,23,13
Platinum,Bachelor,26,7
Platinum,Master,32,9
Silver,High School,18,3
Gold,High School,18,1
Bronze,High School,25,4
Silver,Bachelor,27,2
Gold,None,18,7
Diamond,High School,20,17
Diamond,High School,19,9
Diamond,High School,21,3
Unranked,Bachelor,23,6
Diamond,High School,20,4
Diamond,High School,18,11
Gold,High School,20,7
Diamond,High School,18,17
Gold,High School,25,2
Gold,High School,20,14
Gold,None,18,9
Gold,High School,18,6
Silver,Bachelor,23,18
Gold,High School,19,2
Silver,High School,20,2
Platinum,High School,18,5
Gold,High School,26,1
Platinum,High School,21,3
Silver,Bachelor,18,2
Diamond,None,18,7
Platinum,High School,18,7
